phi_deg, psi_deg, phi, psi, grad_phi, grad_psi
-177, -93, -3.0892327760299634, -1.6231562043547265, -50.250895618688546, 27.535340199728928
-177, -90, -3.0892327760299634, -1.5707963267948966, -43.165291658292496, 19.26697023480641
-177, -87, -3.0892327760299634, -1.5184364492350666, -42.612700640268606, 6.314342844141324
-177, -84, -3.0892327760299634, -1.4660765716752369, -40.75691923889475, 1.911527334664125
-177, -81, -3.0892327760299634, -1.413716694115407, -39.56792913988486, -4.458921838179178
-177, -78, -3.0892327760299634, -1.361356816555577, -37.67833203909687, 1.8179854246210725
-177, -75, -3.0892327760299634, -1.3089969389957472, -38.62142114800777, -3.5129785997076106
-177, -72, -3.0892327760299634, -1.2566370614359172, -39.00451938106479, -6.4244178715608085
-177, -69, -3.0892327760299634, -1.2042771838760873, -37.14420940898969, -5.269035361235797
-177, -66, -3.0892327760299634, -1.1519173063162575, -39.76593522264891, -15.090167702396158
-177, -63, -3.0892327760299634, -1.0995574287564276, -36.412744062455026, -9.864319845536496
-177, -60, -3.0892327760299634, -1.0471975511965976, -38.81301824879576, -4.049769018379811
-177, -57, -3.0892327760299634, -0.9948376736367679, -32.38578366641541, -7.887762745678789
-177, -54, -3.0892327760299634, -0.9424777960769379, -23.31590629652259, -19.309805977928026
-177, -51, -3.0892327760299634, -0.8901179185171081, -31.996116481852756, -4.269205645820955
-177, -48, -3.0892327760299634, -0.8377580409572782, -34.31327185631232, -4.532397392921801
-177, -45, -3.0892327760299634, -0.7853981633974483, -32.99876386443523, -7.928222803388875
-177, -42, -3.0892327760299634, -0.7330382858376184, -32.97412411830478, -2.2699987089055607
-177, -39, -3.0892327760299634, -0.6806784082777885, -32.16757956384936, -13.431319168877579
-177, -36, -3.0892327760299634, -0.6283185307179586, -28.32148359533039, -4.287124777364562
-177, -33, -3.0892327760299634, -0.5759586531581288, -32.29274788068103, -0.209108603673331
-177, -30, -3.0892327760299634, -0.5235987755982988, -16.843335857322863, -8.082141934932476
-177, -27, -3.0892327760299634, -0.47123889803846897, -27.632361742067154, 0.6741514664815296
-177, -24, -3.0892327760299634, -0.4188790204786391, -34.57177680680736, 13.814128036212367
-177, -21, -3.0892327760299634, -0.3665191429188092, -29.674044910383998, -10.397766681185452
-177, -18, -3.0892327760299634, -0.3141592653589793, -37.80557496877935, -14.361592091652575
-177, -15, -3.0892327760299634, -0.2617993877991494, -51.0819222802768, 2.5517904186723763
-177, -12, -3.0892327760299634, -0.20943951023931956, -44.594839254130015, 7.681351146819054
-177, -9, -3.0892327760299634, -0.15707963267948966, -49.6517638644352, 14.820505934371734
-177, -6, -3.0892327760299634, -0.10471975511965978, -57.326770724043264, 6.6281458704392255
